youtube,facebook,newspaper,sales
200.92,142.17,145.41,943.0419
156.26,129.85,62.7,856.2597
124.38,187.57,140.04,964.9689
157.69,187.48,143.94,1017.4412
158.23,222.41,116.04,1115.299
132.48,181.55,119.84,932.3739
121.12,213.64,144.22,1022.3899
107.64,82.63,125.95,650.0298
189.76,173.05,103.53,1001.1707
117.25,115.05,133.46,713.2191
156.36,188.46,129.17,1005.0174
169.8,122.69,102.01,874.3332
143.45,157.46,125.61,916.1398
177.03,214.82,63.78,1112.9273
148.75,138.96,58.57,843.1198
168.93,182.55,108.86,1017.9849
189.96,150.95,130.04,949.6695
166.56,181.24,88.28,1008.7536
137.26,195.82,108.96,1006.2882
137.87,210.78,101.65,1054.9753
160,179,143.8,981.0869
140.43,121.72,113.7,831.7965
170.61,176.41,130.92,1025.186
156.42,192.67,130.9,1027.3744
180.95,202.28,77.82,1087.4779
110.74,153.87,84.67,821.8836
148.95,238.69,110.76,1151.7363
192.89,185.29,105.61,1095.9251
115.94,191.46,133.62,952.9432
138.01,153.15,137.81,857.6706
174.96,150.03,75.93,936.0747
184.49,250.92,104.95,1224.9608
147.26,216.38,135.13,1076.0134
138.94,155.19,87.59,879.3122
151.7,149.14,141.88,906.1153
144.67,193.94,56.04,985.0098
135.11,225.6,94.56,1078.8117
131.93,220.54,85.07,1066.0597
173.97,209.65,56.69,1094.5341
148.08,152.95,86.68,900.0452
142.87,184.7,105.38,986.284
191.4,93.34,78.97,849.4839
126,208.56,71.59,990.2271
139.3,231.12,106.48,1092.1037
132.43,209.71,94.61,1006.7747
173.88,137.26,139.49,896.7635
155.3,131.24,67.61,838.6905
147.39,152.3,148.82,890.2737
169.77,200.86,51.7,1085.1738
172.44,189.29,102.15,1057.0585
130.83,240.68,84.16,1112.1843
128.7,183.25,64.08,941.3308
153.72,233.35,83.76,1137.2763
182.64,165.54,91.62,1009.6772
129.79,156.48,91.37,856.1334
164.2,192.61,105.4,1031.6295
133.31,175.84,73.56,953.2031
214.44,158.55,85.23,1051.7714
153.36,105.91,82.46,789.6876
